MSA #,Tablet Info #
2001600,aid-jp6-687a0371-8342
2013555,aid-jp6-c590f9ff-3315
0654836,aid-jp6-71ed0bd0
2008905,Blacklist
2012968,8b9beef1
2014189,3b438b53
0021910,68f9edae
0052494,aid-jp6-333ba5da-0955
2012014,aid-jp6-9cb5d9f6-2961
0054230,1f08ed1a
2014095,aid-jp6-1de2a6e0-2958
0694058,93af8644
2014025,aid-jp6-cdc1b56d-5999
2010466,39103254-6794
2003101,aid-jp6-752f48e64735
2014203,2aa4e69e
2014221,f80f677b
0655728,aid-jp6-7f739d12-0728
2013531,aid-jp6-00e976c6-5507
2002065,aid-jp6-2b855a1e
2011705,2f2d3975-9470
2002704,3e27e340-6715
2011032,aid-jp6-25e56301-1195
0021048,aid-jp6-c4c2d343-6958
2009341,aid-jp6-b91927f0-3921
2003769,5bb94153
2013837,aid-jp6-c5b37e1a-2500
2012094,b8eb855f
0649012,e47f895e-2825
2012229,aid-jp6-e385d43a
2005447,aid-jp6-95c9c461-0677
2011204,14a857a0-2024
2013854,aid-jp6-a74ae6dd-0066
0686852,aid-jp6-6a6ae156-3595
0055977,aid-jp6-6c36f1fc-8399
0683606,79284e99
0679686,aid-jp6-4370dd8c-3375
2012105,aid-jp6-dfb707e0-2439
0713205,ddab
2013990,aid-jp6-27e9792e-5339
0670823,aid-jp6-d45683e3-3415
2012511,aid-jp6-ae71aecd-7483
2014261,abdbd42f
2011661,45fc4015
2014083,aid-jp6-b82e23b1-5788
2010958,Refused the tablet.
2014267,eb8a7084
0658480,aid-jp6-e5081af0-4657
0703379,e526aa8c-7050
0706429,10b3be88
0714971,0a5c9cec
0702850,021f8260
2014262,95f4cd57
0022832,aid-jp6-8f111910-3383
2010716,aid-jp6-d9c9bc9a-6887
2011839,81fe89dc-8070
0042013,6cebebcb-4613
2009184,64617ec2-1893
2013187,1b09b1ea-6784
2011818,aid-jp6-d05e2f64-8029
0706010,27a7896c-3118
2012803,88e5/9224
2009238,4bdc44fa-4926
2012569,aid-jp6-d50e5793-3566
0017599,502180ab-2067
0694925,aid-jp6-86f64d6b-0151
2013991,aid-jp6-916d84e5-3061
2013560,aid-jp6-29143c93-2125
0046066,19bf/6393
2002588,aid-jp6-82e4a215-4477
2002730,aid-jp6-38dff542-6626
0672790,aid-jp6-3def7bb3
0654717,b75b4ee1-4232
0054263,aid-jp6-73374665-5466
2013895,aid-jp6-0b68c702-1466
0681300,aid-jp6-e57a2e38-5012
2013189,2b3592e2-3827
2014194,aid-jp6-03278662
2011793,aid-jp6-395af8ba-5316
0690152,6377
0049776,aid-jp6-4e3ff5c7
0693889,aid-jp6-fccb42e2-3239
0711074,aid-jp6-5e061a12
2010420,9d9f4600
2011473,aid-jp6-f5afc561-2968
2011616,561a/2405
2013786,aid-jp6-a53a527d-6934
2014019,aid-jp6-e7d63f21-1373
0706869,60cc381f-7609
0650877,4bb61d3e
0704218,aid-jp6-0d767c5e-0389
2001430,aid-jp6-2e1891f2
0687906,24b64a2e
2014069,aid-jp6-a7a32118-5901
2013594,aid-jp6-32f6c252-6719
2013545,aid-jp6-ec8e9638-9866
0680024,aid-jp6-e099a05a-8002
2014044,aid-jp6-9d9d5714
0665309,ec880781
0057172,6b72afd8
2012806,675292c2-1372
2010203,aid-jp6-49ea5e67-1174
0654331,aid-jp6-b35e4108-9382
0042709,9f93038d-7725
2013030,4778e548-4872
2011873,aid-jp6-ae08ffed
0037768,aid-jp6-b3d967af
0709658,aid-jp6-f407111e-2963
2014108,aid-jp6-70ba96e2-3429
2013567,aid-jp6-c7cb1919-4538
2012308,aid-jp6-bc3cf7e2-0523
2013821,aid-jp6-db71d775-9733
2011511,aid-jp6-84586d01-2351
2013244,f6df2db0-2574
2002056,aid-jp6-65f3ac1f-3593
2013893,aid-jp6-31f9d3f8-5472
0672655,aid-jp6-40469c1d-6018
0710345,aid-jp6-b5ba3e00
0647850,aid-jp6-d48ff5fb
2003967,b0cd41e9-7846
2012384,f36eec11-0000
2014110,aid-jp6-961e6704
0696666,aid-jp6-563530d5
2013696,aid-jp6-1019eade-0507
0050005,aid-jp6-59f96498-6689
2014091,aid-jp6-bcda47fa-2712
2013972,aid-jp6-f25256c2
2010878,e4f73578c-7830
0703106,aid-jp6-c295113b-6231
2013882,aid-jp6-1ad6ff8a-8747
2010523,04965b44-2094
2014195,f275d1be
0661030,aid-jp6-d8e61cf
0649402,aid-jp6-c33d00a4
2005203,8637592d
2006559,aid-jp6-3d84b791
2007224,aid-jp6-91ef937b-6149
2013825,aaaa4d4f-7965
2012540,aid-jp6-c370536b-7838
0022978,aid-jp6-d12fdc14-63132
0696124,aid-jp6-a9e68337
2014201,598b63f2
2013934,aid-jp6-bcd23853-6221
0682918,aid-jp6-97572293-3087
2010028,aid-jp6-e9332ba9-0974
2010899,7F76
0688814,aid-jp6-bba0922d-627185
2014223,65c10b0f
0683231,597a5959
2014210,a3a150a5
2012730,aid-jp6-16860b94-6171
2007322,e0ff26a0-9493
2012465,aid-jp6-51b87c20-3874
2013751,aid-jp6-50642108-8751
2011455,aid-jp6-d8037d99-6715
0669638,aid-jp6-ff298e76-7358
2009719,aid-jp6-085ecf93-8098
0015998,570c2f07-6047
2007702,aid-jp6-833486b4
2013259,cba65de7-3474
2011760,b1110a66-6022
2008338,aid-jp6-17968f3d-6534
2011458,23b012c9-0535
0047747,7419f665-1356
2012701,0521792c-0773
0686054,aid-jp6-28e6276b-3804
2012334,aid-jp6-ac5d33e9-7628
2012605,d8919229
2011939,aid-jp6-dc86931a
0709214,aid-jp6-1baab3f4
2003203,aid-jp6-61ad4b7e-nobatterynumber
0042685,aid-jp6-1c2d9244-2278
2007817,aid-jp6-a7119f04-6783
2012064,aid-jp6-a9a21d3a-3129
2012924,b77c52e7-4827
2012447,aid-jp6-b3afa194
2012918,aid-jp6-71f01375-1605
2008271,aid-jp6-fbf06ae1-7181
2011267,21817ea0
0673846,07bff378-8721
2012707,3eee10ae
0675386,aid-jp6-f266da89-3869
0707112,aid-jp6-887656ba
2009165,aid-jp6-8a6a2484
0698227,aid-jp6-9ff695e2-0325
0709044,aid-jp6-82915420-2296
0048332,09a0
2011884,aid-jp6-e6fb8e4e-0326
2010317,aid-jp6-fbdcada2-6611
0710076,aid-jp6-c4d3e8ee-3232
0698695,aid-jp6-9e7df83f-2624
0700229,aid-jp6-24acebc1-5563
0667521,46f7c5ce-5113
2002169,aid-jp6-e04356bc-3529
2011847,aid-jp6-45aee675-6584
2012636,c0c96fc4-1417
2008711,aid-jp6-fd2249fd-6767
2012394,aid-jp6-c3d7b4e1
0038799,aid-jp6-43458d62-2982
0706645,8b1b8262
0709968,41c15853-4033
2009942,12b6de92-4790
2003052,aid-jp6-5cb3d3ac
2013272,e3c0a108-1024
0708083,aid-jp6-0eb1beca-6462
2012362,aid-jp6-6c25da20-8292
0054175,341d1dcb-6756
0047703,aid-jp6-cad3b5ef
0673796,aid-jp6-b1bd5de0-8717
0709299,aid-jp6-b619ebd8-8184
2003507,aid-jp6-d3954dad-2212
2012533,c2af9d29-0430
0691037,d910c771
2005070,aid-jp6-740666e5-2926
0015687,aid-jp6-695469eb-6817
0714240,aid-jp6-4366f483
2012654,aid-jp6-1bbe0b2a-4620
0663500,aid-jp6-0a015b42-4922
0689000,aid-jp6-b417fbf1-6538
0711485,2cd8fd43
2013307,15bede50-5305
2013342,aid-jp6-f4b75182-3705
2011438,aid-jp6-2c34686f-4308
2013863,aid-jp6-6a896563-5468
0021577,aid-jp6-375b12cc-1795
2014209,aid-jp6-b9961e3d
0657644,aid-jp6-1729e963-6330
2013035,468e4af3c-5602
2009387,aid-jp6-a8a0edce-9683
2012035,aid-jp6-662c3834-2002
0041516,aid-jp6-41a3bf55-2278
0036049,aid-jp6-0f8e8be2
0694123,e8e4d960
0696180,cb672783-7513
0678931,aid-jp6-71597421
0707821,aid-jp6-fca12142-0107
2008555,aid-jp6-059dfdea-0935
2013959,aid-jp6-74cba53a-8341
2005616,d44a492b
0662054,006559a9
2010492,e95bb337
0032866,aid-jp6-ac692e30
2013390,aid-jp6-283a9a24-2552
2013891,aid-jp6-bb7aac4c-3502
2011504,abcfe729
0661415,aid-jp6-da9487ff-0410
2008655,aid-jp6-10dbf4c9
2013097,aid-jp6-bc7add73-9857
0713687,aid-jp6-31847000-2530
0703568,aid-jp6-a38a27e7-1148
0707274,aid-jp6-a6e89148-3513
2008611,aid-jp6-b55fb18d-2625
0714334,aid-jp6-fb24edc3-0732
2012994,afe1f2f8-08c8
2014084,aid-jp6-a1bd8623-2829
0710125,aid-jp6-60c3fe3a-7198
2006183,aid-jp6-01027d9a-6257
0694038,aid-jp6-39c44f57-9849
2011696,aid-jp6-f581c25b-0984
2009780,aid-jp6-9f365b70
2012825,9646d699
0684646,aid-jp6-936d7de5
0675632,aid-jp6-5c046fdb-8385
0674526,cb2dab7e
2009233,a3fe3f59
0689810,aid-jp6-c6dbf5cc-8142
0701856,aid-jp6-b204c37d-0078
2014136,083c9659
2013255,aid-jp6-cc5676c3
0021052,aid-jp6-0481368c-0142
0702110,aid-jp6-713752d0-7200
0714490,aid-jp6-eba4feed-6331
0696343,aid-jp6-7e4b3d98-3100
0679521,aid-jp6-04b5618c-1547
0690788,aid-jp6-100c3686-8599
0648735,aid-jp6-210fb8e5-6004
0044688,52b7-9806
2012745,8fccdabc-4315
0024424,aid-jp6-37a4899d-9123
0019806,aid-jp6-d2ea6d2f-4693
0051077,634ad8b5-7931
0672051,aid-jp6-2fb93c49
0038380,aid-jp6-3bb0e3ca-6338
0048966,486aa881-2537
2012023,aid-jp6-29d0ab28-6453
2011944,aid-jp6-23dca8d7-7215
2004231,3452fd6f
0658948,aid-jp6-fc34de3c-5741
2011212,48205d0c-2578
0691844,aid-jp6-4cab60e3-2378
0040688,aid-jp6-ff6f299f-0282
2013998,aid-jp6-bff829c9-5115
2005172,aid-jp6-b1f119ad-2957
0692621,aid-jp6-46406ca2-0654
0707467,aid-jp6-4f0cb734-4656
0029697,aid-jp6-f6c5119a-4997
0053117,aid-jp6-57ff44a1
0685241,aid-jp6-91a64732-8278
2009996,8f47b1e5
0026585,aid-jp6-0b1a6dee-5222
0044727,aid-jp6-d171e64b-3720
2010017,aid-jp6-48d90550-9024
0035883,ee199b67
2010456,aid-jp6-9722cd38-4166
2013953,aid-jp6-62909ee0-6192
0712345,fc60aa91
0047689,8efdc3f1-3937
0659107,aid-jp6-cb739dff-2110
2013958,aid-jp6-6c1ddaea-4230
2013625,aid-jp6-ca4ebcd3-3883
0702620,aid-jp6-698568bc-1766
2014029,aid-jp6-23908dd2-6184
0020197,aid-jp6-7d8639b3-8184
2008801,aid-jp6-3eb9e80f-0839
0668196,15c634a5
0678507,aid-jp6-a4f9b9df-9580
0688446,edcc1c62
2012826,8ee616a3
0692653,c08e63d6
0048102,aid-jp6-06adffea-8305
0056391,aid-jp6-9f7cbc8f
2014051,aid-jp6-b8fbfcd5-5291
2012927,aid-jp6-9f037513
2002614,9b2ee72a
2013706,aid-jp6-d53060cc-6410
0018438,aid-jp6-97ce09f8-3590
2014151,1ff3fa3a
2007542,a417d3a1
0701137,aid-jp6-dbedb78e-3886
2004058,aid-jp6-fc06a0d4-2734
0041745,aid-jp6-3ea9d385-3766
2012345,aid-jp6-6e28c533-4051
0689981,3b42ddf1
2004935,aid-jp6-8382fa50-9838
0673992,4e4079cc-5614
2013513,aid-jp6-5702304c-3835
0704202,aid-jp6-a004e002-9517
0048282,aid-jp6-7b9066ff-5800
2011631,aa9e1d60-9670
2013279,aid-jp6-7cc5a461-9360
0704524,aid-jp6-b0c8b83e-9558
2012925,aid-jp6-48cb111a
2010327,aid-jp6-79b29d1d-8790
0663562,aid-jp6-91a632fa-7515
0030536,aid-jp6-fd960292-3038
0682934,aid-jp6-789269e5-6731
0055043,aid-jp6-cdacdfda-3812
2004793,add19392
2014246,b702a603
0037739,aid-jp6-793b77dd-1208
0018628,aid-jp6-98654888
0034557,d32a7bfd
2014158,3641ba67
0707649,aid-jp6-b44b96ce
2008695,aid-jp6-7a0bcd4a-9826
0038903,0113b1ec
2010751,aid-jp6-eb9e7570-0033
2006413,aid-jp6-36b4220c-3527
2011070,aid-jp6-b843df83-1223
2004607,fda1360f
2013913,aid-jp6-180750cb-6743
0052224,aid-jp6-29429ada-0045
2012470,aid-jp6-6459ddc7-8152
2011391,aid-jp6-855c98fc-5320
2014038,dcab9dcb
0015877,4f32
0684418,3c0fbcec
0685986,161ffc6f
2009313,e910154e-1229
0677792,aid-jp6-f441eaa3-7366
0689003,aid-jp6-66639666-7422
2003054,aid-jp6-89118b4b
0020455,aid-jp6-6bde92c4-2693
0684520,aid-jp6-1fb93953-0219
2012662,aid-jp6-1174d678-6947
2011147,9c1ba9a9
0035551,aid-jp6-66a31be4-7420
0662135,aid-jp6-b2e2d349
2014078,aid-jp6-b2fbf962-9312
0667946,dfb4cccb-7920
0654995,aid-jp6-98ed43c5-4957
0708688,277fb052
0026314,aid-jp6-b3e7267b-3305
2012610,aid-jp6-7d1f28c8-6772
2002843,aid-jp6-1300048b-3704
2013096,aid-jp6-6b391937
2011001,aid-jp6-acbf0c8e-3956
0680380,aid-jp6-adbc208a-3489
0040416,aid-jp6-ea3bddee-9623
0681997,f614d24d
0684447,e5bcf47d
0672052,aid-jp6-9383efc1
2013362,aid-jp6-c33d00a4
0703470,aid-jp6-4efa9a0b-5379
2014113,aid-jp6-cd7340ff-2517
0039350,aid-jp6-b47383ae-5309
0034423,aid-jp6-71214ed5
0709910,ac086bbf
2010600,aid-jp6-0e85f249-8878
2011475,b78db5ef-6743
0034300,6ec79c8b
0048036,a6b1b634
2013347,6940dc80
0682957,51cd82b1
0030092,74339150
0017671,aid
0709537,74b62c5f
2014162,e3e2a3e5
0712069,8c5d0c82
0701348,aid-jp6-f7a51c73
0021946,aid-jp6-e6b67270-3268
0710205,aid-jp6-4f6dd990-1725
0680964,aid-jp6-3fe48e4b-6222
2014184,aid-jp6-f19ca8bf
0660207,aid-jp6-5d83910e
2014256,6581ffa9
2014217,9c4d063b
2013425,aid-jp6-cddb6b3a-2146
0709479,7acbed6c
2011911,500b714c
2011515,aid-jp6-81f46ea4-1979
0707802,40f3467b
2014181,e8138482
0025662,6161b9e9
0699882,aid-jp6-87a07d4d-8414
0686595,aid-jp6-ad8e66ee
0054614,521cdbdb
2013496,d4e2afa7
0696483,3f3d76f8
2010570,e5081af0
2011045,6d77605b
2014099,aid-jp6-a8b69aa5-5890
2012203,c684e744
0049887,aid-jp6-8dda16d7-4187
0705078,aid-jp6-f614d24d
0050767,aid-jp6-644dde60
2012594,aa4d726b-8334
2014017,aid-jp6-c53b2320-8934
2009070,aid-jp6-64fa2f73-3382
2010281,8bc19e27-6813
